date,bike_stands,available_bike_stands,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-04 20:51:32,22,0,17.100000381469727,47.0,5.694956302642822,16.032119750976562,0.0,0.0,981.9596557617188
2024-04-04 18:53:16,22,0,17.100000381469727,47.0,5.694956302642822,16.032119750976562,0.0,0.0,981.9596557617188
2024-04-04 19:10:00,22,0,14.699999809265137,60.0,7.014326095581055,13.285896301269531,0.0,0.0,982.5654296875
2024-04-04 20:11:05,22,0,14.399999618530273,62.0,7.210405349731445,13.350387573242188,0.0,0.0,983.1126708984375
2024-04-04 21:09:33,22,0,14.399999618530273,62.0,7.210405349731445,13.350387573242188,0.0,0.0,983.1126708984375
2024-04-04 22:09:43,22,0,13.800000190734863,56.0,5.170838832855225,12.091392517089844,0.0,0.0,984.3033447265625
2024-04-04 23:11:46,22,0,11.600000381469727,66.0,5.461864948272705,9.730147361755371,0.0,0.0,984.7313842773438
2024-04-05 00:46:58,22,0,11.300000190734863,69.0,5.817151069641113,9.836602210998535,0.0,0.0,985.5675659179688
2024-04-05 01:43:49,22,0,11.300000190734863,69.0,5.817151069641113,9.836602210998535,0.0,0.0,985.5675659179688
2024-04-05 02:17:54,22,0,10.100000381469727,75.0,5.868384838104248,8.953876495361328,0.0,0.0,986.3968505859375
2024-04-05 03:12:46,22,0,10.100000381469727,75.0,5.868384838104248,8.953876495361328,0.0,0.0,986.3968505859375
2024-04-05 04:15:12,22,2,9.899999618530273,75.0,5.675012588500977,8.565951347351074,0.0,0.0,987.0509643554688
2024-04-05 05:10:22,22,8,9.899999618530273,75.0,5.675012588500977,8.565951347351074,0.0,0.0,987.0509643554688
2024-04-05 06:13:38,22,21,9.300000190734863,79.0,5.843976020812988,7.88360595703125,0.0,0.0,987.658203125
2024-04-05 07:10:13,22,5,9.300000190734863,79.0,5.843976020812988,7.88360595703125,0.0,0.0,987.658203125
2024-04-05 09:10:26,22,13,19.25,47.0,7.659857273101807,17.02690315246582,0.0,0.0,988.4873657226562
2024-04-05 10:12:15,22,13,20.299999237060547,39.0,5.890199184417725,17.624094009399414,0.0,0.0,988.0200805664062
2024-04-05 11:09:05,22,21,20.299999237060547,39.0,5.890199184417725,17.624094009399414,0.0,0.0,988.0200805664062
2024-04-05 12:18:24,22,20,22.5,36.0,6.6843671798706055,20.10306739807129,0.0,0.0,986.7059936523438
2024-04-05 13:11:58,22,22,22.5,36.0,6.6843671798706055,20.10306739807129,0.0,0.0,986.7059936523438
2024-04-05 14:12:14,22,21,23.25,38.0,8.141403198242188,20.52558708190918,0.0,0.0,985.623046875
2024-04-05 15:10:40,22,21,23.25,38.0,8.141403198242188,20.52558708190918,0.0,0.0,985.623046875
2024-04-05 16:14:28,22,21,22.0,41.0,8.14316177368164,20.147008895874023,0.0,0.0,985.2969360351562
