date,bike_stands,available_bike_stands,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-04 20:51:32,22,13,16.049999237060547,51.0,5.911001205444336,14.51318359375,0.0,0.0,981.6137084960938
2024-04-04 18:53:16,22,13,16.049999237060547,51.0,5.911001205444336,14.51318359375,0.0,0.0,981.6137084960938
2024-04-04 19:10:00,22,12,15.550000190734863,53.0,6.005058765411377,14.402908325195312,0.0,0.0,982.2352905273438
2024-04-04 20:11:05,22,18,15.050000190734863,50.0,4.703532695770264,13.3472900390625,0.0,0.0,982.759765625
2024-04-04 21:09:33,22,12,15.050000190734863,50.0,4.703532695770264,13.3472900390625,0.0,0.0,982.759765625
2024-04-04 22:09:43,22,8,13.649999618530273,55.0,4.772156715393066,11.438531875610352,0.0,0.0,983.9568481445312
2024-04-04 23:11:46,22,7,12.350000381469727,63.0,5.503406047821045,10.337586402893066,0.0,0.0,984.4859619140625
2024-04-05 00:46:58,22,7,11.5,69.0,6.008616924285889,9.962102890014648,0.0,0.0,985.1619873046875
2024-04-05 01:43:49,22,6,11.5,69.0,6.008616924285889,9.962102890014648,0.0,0.0,985.1619873046875
2024-04-05 02:17:54,22,6,10.100000381469727,74.0,5.674393177032471,8.765820503234863,0.0,0.0,986.0639038085938
2024-04-05 03:12:46,22,6,10.100000381469727,74.0,5.674393177032471,8.765820503234863,0.0,0.0,986.0639038085938
2024-04-05 04:15:12,22,7,9.949999809265137,74.0,5.5295891761779785,8.281145095825195,0.0,0.0,986.723388671875
2024-04-05 05:10:22,22,13,9.949999809265137,74.0,5.5295891761779785,8.281145095825195,0.0,0.0,986.723388671875
2024-04-05 06:13:38,22,18,9.75,79.0,6.2817230224609375,8.432284355163574,0.0,0.0,987.3765869140625
2024-04-05 07:10:13,22,22,9.75,79.0,6.2817230224609375,8.432284355163574,0.0,0.0,987.3765869140625
2024-04-05 09:10:26,22,17,18.899999618530273,55.0,9.661826133728027,18.40729522705078,0.0,0.0,988.2194213867188
2024-04-05 10:12:15,22,22,20.950000762939453,43.0,7.898088455200195,19.62894058227539,0.0,0.0,987.668212890625
2024-04-05 11:09:05,22,18,20.950000762939453,43.0,7.898088455200195,19.62894058227539,0.0,0.0,987.668212890625
2024-04-05 12:18:24,22,19,22.899999618530273,37.0,7.438760757446289,21.550363540649414,0.0,0.0,986.3282470703125
2024-04-05 13:11:58,22,22,22.899999618530273,37.0,7.438760757446289,21.550363540649414,0.0,0.0,986.3282470703125
2024-04-05 14:12:14,22,21,23.649999618530273,37.0,8.103979110717773,21.46063995361328,0.0,0.0,985.3428955078125
2024-04-05 15:10:40,22,13,23.649999618530273,37.0,8.103979110717773,21.46063995361328,0.0,0.0,985.3428955078125
2024-04-05 16:14:28,22,13,22.0,42.0,8.498597145080566,20.438074111938477,0.0,0.0,985.0702514648438
2024-04-05 17:09:17,22,17,22.0,42.0,8.498597145080566,20.438074111938477,0.0,0.0,985.0702514648438
2024-04-05 18:13:07,22,20,16.950000762939453,57.0,8.372422218322754,15.997718811035156,0.0,0.0,984.8102416992188
2024-04-05 19:10:04,22,12,16.950000762939453,57.0,8.372422218322754,15.997718811035156,0.0,0.0,984.8102416992188
2024-04-05 20:11:25,22,17,15.199999809265137,59.0,7.238907337188721,14.254404067993164,0.0,0.0,985.7764282226562
2024-04-05 21:10:06,22,12,15.199999809265137,59.0,7.238907337188721,14.254404067993164,0.0,0.0,985.7764282226562
2024-04-05 22:10:31,22,13,13.850000381469727,69.0,8.257868766784668,13.096761703491211,0.0,0.0,985.7208251953125
2024-04-05 23:11:48,22,10,15.699999809265137,53.0,6.144185543060303,14.1341552734375,0.0,0.0,985.2517700195312
2024-04-06 00:44:40,22,7,12.699999809265137,75.0,8.381752967834473,12.0081787109375,0.0,0.0,985.783203125
2024-04-06 01:41:32,22,4,12.699999809265137,75.0,8.381752967834473,12.0081787109375,0.0,0.0,985.783203125
2024-04-06 02:16:21,22,5,12.300000190734863,72.0,7.396010875701904,11.015503883361816,0.0,0.0,986.4146118164062
2024-04-06 03:12:09,22,6,12.300000190734863,72.0,7.396010875701904,11.015503883361816,0.0,0.0,986.4146118164062
2024-04-06 04:13:38,22,7,9.050000190734863,93.0,7.977951526641846,8.140284538269043,0.0,0.0,986.1343994140625
2024-04-06 05:10:49,22,7,9.050000190734863,93.0,7.977951526641846,8.140284538269043,0.0,0.0,986.1343994140625
2024-04-06 06:13:00,22,7,11.550000190734863,83.0,8.761474609375,10.773904800415039,0.0,0.0,986.7152709960938
2024-04-06 07:10:03,22,7,11.550000190734863,83.0,8.761474609375,10.773904800415039,0.0,0.0,986.7152709960938
2024-04-06 08:13:05,22,16,16.950000762939453,62.0,9.619301795959473,16.143966674804688,0.0,0.0,987.52001953125
2024-04-06 09:10:31,22,18,16.950000762939453,62.0,9.619301795959473,16.143966674804688,0.0,0.0,987.52001953125
2024-04-06 10:10:56,22,20,22.25,51.0,11.629894256591797,22.47865867614746,0.0,0.0,987.5177612304688
